Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
5153	20	0.00	0	-1.00	29.80	0	0	0	0	0	0	
5207	20	0.00	0	-1.00	29.80	0	0	0	0	0	0	
5259	20	0.00	0	-0.64	29.80	0	0	0	0	0	0	
5315	20	0.00	0	-1.26	29.90	0	0	0	0	0	0	
5369	20	0.00	0	-1.09	29.90	0	0	0	0	0	0	
5421	20	0.00	0	-1.17	29.80	0	0	0	0	0	0	
5476	20	0.00	-1	-1.53	29.90	0	0	0	0	0	0	
5529	20	0.00	-1	-1.26	29.90	0	0	0	0	0	0	
5582	20	0.00	-1	-0.73	29.80	0	0	0	0	0	0	
5638	20	0.00	0	-0.29	29.80	0	0	0	0	0	0	
5691	20	0.00	0	-0.47	29.80	0	0	0	0	0	0	
5743	20	0.00	0	-0.47	29.80	0	0	0	0	0	0	
5797	20	0.00	0	-0.03	29.80	0	0	0	0	0	0	
5849	20	0.00	0	-1.09	29.80	0	0	0	0	0	0	
5902	20	0.00	0	-0.73	29.80	0	0	0	0	0	0	
5958	20	0.00	0	-0.73	29.80	0	0	0	0	0	0	
6011	20	0.00	0	-0.38	29.80	0	0	0	0	0	0	
6064	20	0.00	0	-1.09	29.80	0	0	0	0	0	0	
6116	20	0.00	0	-1.26	29.80	0	0	0	0	0	0	
6171	20	0.00	0	-0.73	29.90	0	0	0	0	0	0	
6228	20	0.00	0	-1.09	29.90	0	0	0	0	0	0	
6281	20	0.00	0	-0.56	29.90	0	0	0	0	0	0	
6333	20	0.00	0	-1.17	29.90	0	0	0	0	0	0	
6386	20	0.00	0	-1.00	29.90	0	0	0	0	0	0	
6439	20	0.00	0	-0.64	29.90	0	0	0	0	0	0	
6492	20	0.00	0	-0.56	29.90	0	0	0	0	0	0	
6548	20	0.00	0	-0.64	29.80	0	0	0	0	0	0	
6600	20	0.00	0	-0.47	29.90	0	0	0	0	0	0	
6654	20	0.00	0	-0.73	29.80	0	0	0	0	0	0	
6706	20	0.00	0	-0.64	29.90	0	0	0	0	0	0	
6759	20	0.00	0	-0.21	29.90	0	0	0	0	0	0	
6811	20	0.00	0	-1.35	29.90	0	0	0	0	0	0	
6871	20	0.00	0	-1.09	29.90	0	0	0	0	0	0	
6923	20	0.00	0	-0.47	29.90	0	0	0	0	0	0	
6976	20	0.00	0	-0.47	29.90	0	0	0	0	0	0	
7028	20	0.00	0	-0.56	29.90	0	0	0	0	0	0	
7082	20	0.00	0	-0.64	29.90	0	0	0	0	0	0	
7134	20	0.00	0	-0.73	29.90	0	0	0	0	0	0	
7190	20	0.00	0	-0.73	29.90	0	0	0	0	0	0	
7243	20	0.00	0	-1.17	29.90	0	0	0	0	0	0	
7296	20	0.00	0	-1.53	29.90	0	0	0	0	0	0	
7349	20	0.00	0	-0.56	29.90	0	0	0	0	0	0	
7401	20	0.00	0	-0.21	29.90	0	0	0	0	0	0	
7454	20	0.00	0	-0.47	29.90	0	0	0	0	0	0	
