1, 6.34, 12422, 40
2, 7.46, 12526, 40
3, 5.57, 12574, 40
4, 6.77, 12621, 40
4, 7.81, 12668, 40
5, 6.95, 12716, 40
5, 7.38, 12763, 40
6, 7.21, 12811, 40
6, 8.07, 12858, 40
6, 7.03, 12905, 40
6, 6.86, 12952, 40
6, 7.29, 13000, 40
6, 7.21, 13047, 40
7, 7.03, 13094, 40
7, 7.29, 13142, 40
7, 7.55, 13190, 40
7, 6.95, 13237, 40
7, 6.77, 13284, 40
7, 6.77, 13331, 40
7, 8.07, 13379, 40
7, 7.46, 13426, 40
7, 8.16, 13473, 40
7, 7.38, 13520, 40
7, 7.72, 13569, 40
7, 7.29, 13616, 40
7, 7.29, 13663, 40
7, 7.46, 13714, 40
7, 7.72, 13762, 40
7, 6.95, 13809, 40
7, 7.38, 13856, 40
7, 6.95, 13904, 40
7, 6.52, 13952, 40
7, 6.00, 14000, 40
6, 6.00, 14047, 40
6, 6.09, 14095, 40
6, 6.77, 14142, 60
6, 6.00, 14190, 60
6, 6.52, 14237, 60
6, 5.05, 14285, 60
6, 4.62, 14332, 60
6, 5.74, 14381, 60
5, 5.13, 14428, 60
5, 5.65, 14476, 60
5, 4.27, 14523, 60
5, 3.58, 14571, 60
4, 3.41, 14618, 60
4, 3.24, 14665, 60
3, 1.17, 14713, 60
3, 0.39, 14760, 60
2, -0.31, 14809, 60
