1.00, 1.01, 24.29, 17244, 0
1.15, 1.75, 26.57, 17275, 0
1.27, 1.75, 26.57, 17290, 0
1.37, 1.75, 26.57, 17303, 0
1.44, 1.75, 26.57, 17317, 0
1.51, 1.75, 26.57, 17331, 0
1.86, 3.28, 20.05, 17348, 0
2.15, 3.28, 8.60, 17361, 0
2.37, 3.28, 12.25, 17376, 0
2.56, 3.28, 11.83, 17389, 0
3.23, 5.90, 7.00, 17403, 0
3.76, 5.90, 5.48, 17417, 0
4.19, 5.90, 4.90, 17434, 0
4.53, 5.90, 5.48, 17448, 0
4.97, 6.74, 2.45, 17462, 0
5.33, 6.74, 2.83, 17476, 0
5.61, 6.74, 4.12, 17489, 0
5.83, 6.74, 1.73, 17504, 0
6.01, 6.74, 1.41, 17523, 0
6.00, 5.94, 2.24, 17537, 0
5.99, 5.94, 2.00, 17551, 0
5.98, 5.94, 3.00, 17565, 0
5.97, 5.94, 4.24, 17579, 0
6.11, 6.67, 4.58, 17593, 0
6.22, 6.67, 4.36, 17610, 0
6.31, 6.67, 5.74, 17625, 0
6.38, 6.67, 5.00, 17639, 0
6.44, 6.67, 5.00, 17652, 0
6.55, 7.00, 4.47, 17667, 0
6.64, 7.00, 3.16, 17681, 0
6.71, 7.00, 2.24, 17698, 0
6.77, 7.00, 2.24, 17712, 0
6.75, 6.68, 1.73, 17726, 0
6.74, 6.68, 1.41, 17740, 0
6.72, 6.68, 1.00, 17754, 0
6.72, 6.68, 1.00, 17768, 0
6.71, 6.71, 1.00, 17785, 0
6.71, 6.71, 1.41, 17802, 0
6.71, 6.71, 1.00, 17816, 0
6.71, 6.71, 2.00, 17830, 0
6.71, 6.71, 2.00, 17844, 0
6.72, 6.75, 2.24, 17861, 0
6.73, 6.75, 2.24, 17875, 0
6.73, 6.75, 2.24, 17890, 0
6.74, 6.75, 2.24, 17903, 0
6.84, 7.24, 2.24, 17917, 0
6.92, 7.24, 2.24, 17932, 0
6.98, 7.24, 2.24, 17949, 0
7.03, 7.24, 2.24, 17963, 0
7.07, 7.24, 1.41, 17977, 0
