1, 4.10, 15324, 40
1, 4.79, 15428, 40
2, 5.74, 15475, 40
3, 6.08, 15523, 40
4, 6.08, 15570, 40
4, 6.60, 15618, 40
5, 6.17, 15666, 40
5, 5.05, 15713, 40
5, 6.34, 15760, 40
5, 6.34, 15807, 40
5, 6.26, 15855, 40
5, 4.96, 15902, 40
6, 6.08, 15949, 40
6, 6.69, 15996, 40
6, 6.52, 16044, 40
6, 7.03, 16091, 40
6, 6.95, 16139, 40
6, 6.60, 16186, 40
6, 6.52, 16233, 40
6, 6.52, 16281, 40
7, 7.29, 16328, 40
7, 7.21, 16375, 40
7, 7.21, 16422, 40
7, 7.03, 16470, 40
7, 7.46, 16517, 40
7, 6.86, 16564, 40
7, 6.77, 16615, 40
7, 6.69, 16662, 40
7, 6.60, 16709, 40
7, 6.00, 16756, 40
7, 6.00, 16804, 40
6, 5.91, 16851, 40
6, 6.34, 16899, 40
6, 6.26, 16947, 40
6, 6.69, 16994, 40
6, 4.96, 17041, 40
6, 5.57, 17088, 40
6, 5.13, 17135, 40
6, 5.74, 17183, 40
6, 4.44, 17230, 40
5, 4.79, 17277, 40
5, 3.41, 17326, 40
5, 4.53, 17373, 40
5, 3.50, 17420, 40
4, 3.15, 17467, 40
4, 2.11, 17515, 40
4, 2.55, 17562, 60
3, -0.31, 17610, 60
2, -0.65, 17658, 60
