1, 1.37, 13282, 40
1, 0.51, 13387, 40
0, 0.51, 13434, 40
0, 0.60, 13481, 40
0, 0.60, 13530, 40
0, 0.68, 13577, 40
1, 1.29, 13624, 40
1, 0.42, 13672, 40
1, 0.86, 13720, 40
1, 1.29, 13767, 40
1, 0.86, 13814, 40
1, 1.46, 13861, 40
1, 1.29, 13910, 40
1, 2.06, 13957, 40
1, 1.20, 14004, 40
1, 0.94, 14052, 40
1, 1.12, 14099, 40
1, 0.94, 14146, 40
1, 1.12, 14194, 40
1, 1.20, 14241, 40
1, 1.46, 14288, 40
1, 1.46, 14336, 40
1, 1.63, 14384, 40
1, 1.46, 14431, 40
1, 1.55, 14478, 40
1, 1.55, 14525, 40
1, 1.37, 14575, 40
1, 1.12, 14623, 40
1, 1.63, 14670, 40
1, 1.55, 14717, 40
1, 2.06, 14765, 40
1, 1.72, 14813, 40
1, 1.46, 14860, 40
1, 1.55, 14907, 40
1, 2.15, 14955, 40
2, 2.06, 15002, 40
2, 1.72, 15218, 40
2, 2.32, 15510, 40
2, 2.49, 15811, 40
2, 2.15, 16077, 40
2, 1.46, 16154, 40
2, 1.55, 16201, 40
2, 1.63, 16248, 40
2, 2.15, 16295, 40
2, 2.41, 16344, 40
2, 1.80, 16391, 40
2, 2.67, 16438, 40
2, 1.80, 16485, 40
2, 1.72, 16533, 40
2, 1.72, 16580, 40
2, 1.29, 16627, 40
2, 1.37, 16674, 40
2, 2.06, 16726, 40
2, 1.80, 16773, 40
2, 1.72, 16820, 40
2, 1.55, 16868, 40
2, 2.06, 16915, 40
2, 2.32, 16962, 40
2, 1.55, 17009, 40
2, 1.72, 17056, 40
2, 1.80, 17104, 40
2, 2.24, 17152, 40
2, 2.15, 17199, 40
2, 1.63, 17246, 40
2, 1.72, 17294, 40
2, 2.15, 17341, 40
2, 1.20, 17388, 40
2, 1.63, 17435, 40
2, 1.80, 17482, 40
1, 1.46, 17530, 40
1, 1.55, 17579, 40
2, 2.06, 17626, 40
1, 1.55, 17673, 40
2, 1.72, 17720, 40
1, 1.20, 17767, 40
1, 1.46, 17815, 40
