Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
5235	20	0.00	0	-0.41	28.80	0	0	0	0	0	0	
5289	20	0.00	0	-0.06	28.80	0	0	0	0	0	0	
5341	20	0.00	0	-0.23	28.80	0	0	0	0	0	0	
5394	20	0.00	0	-0.85	28.80	0	0	0	0	0	0	
5447	20	0.00	0	-0.41	28.80	0	0	0	0	0	0	
5505	20	0.00	0	-0.32	28.80	0	0	0	0	0	0	
5557	20	0.00	0	0.12	28.80	0	0	0	0	0	0	
5612	20	0.00	0	-0.14	28.80	0	0	0	0	0	0	
5666	20	0.00	0	-0.14	28.80	0	0	0	0	0	0	
5719	20	0.00	0	-0.41	28.80	0	0	0	0	0	0	
5771	20	0.00	0	-0.32	28.80	0	0	0	0	0	0	
5828	20	0.00	0	-0.06	28.80	0	0	0	0	0	0	
5882	20	0.00	0	0.04	28.80	0	0	0	0	0	0	
5935	20	0.00	0	0.21	28.80	0	0	0	0	0	0	
5987	20	0.00	0	-0.14	28.80	0	0	0	0	0	0	
6040	20	0.00	0	0.04	28.80	0	0	0	0	0	0	
6094	20	0.00	0	0.30	28.80	0	0	0	0	0	0	
6151	20	0.00	0	-0.32	28.80	0	0	0	0	0	0	
6203	20	0.00	0	-0.94	28.80	0	0	0	0	0	0	
6256	20	0.00	0	0.39	28.80	0	0	0	0	0	0	
6312	20	0.00	0	0.39	28.80	0	0	0	0	0	0	
6365	20	0.00	0	0.04	28.80	0	0	0	0	0	0	
6422	20	0.00	0	0.12	28.80	0	0	0	0	0	0	
6474	20	0.00	0	-0.14	28.80	0	0	0	0	0	0	
6528	20	0.00	0	-0.23	28.80	0	0	0	0	0	0	
6580	20	0.00	0	0.12	28.80	0	0	0	0	0	0	
6633	20	0.00	0	0.21	28.80	0	0	0	0	0	0	
6686	20	0.00	0	0.04	28.80	0	0	0	0	0	0	
6743	20	0.00	0	0.12	28.80	0	0	0	0	0	0	
6796	20	0.00	0	-0.32	28.80	0	0	0	0	0	0	
6849	20	0.00	0	-0.14	28.80	0	0	0	0	0	0	
6902	20	0.00	0	0.04	28.80	0	0	0	0	0	0	
6955	20	0.00	0	0.21	28.80	0	0	0	0	0	0	
7010	20	0.00	0	-0.23	28.80	0	0	0	0	0	0	
7067	20	0.00	0	-0.23	28.80	0	0	0	0	0	0	
7121	20	0.00	0	-0.23	28.80	0	0	0	0	0	0	
7173	20	0.00	0	-0.50	28.80	0	0	0	0	0	0	
7226	20	0.00	0	-0.06	28.80	0	0	0	0	0	0	
7279	20	0.00	0	-0.14	28.80	0	0	0	0	0	0	
7333	20	0.00	0	-0.14	28.80	0	0	0	0	0	0	
7390	20	0.00	0	-0.32	28.80	0	0	0	0	0	0	
7442	20	0.00	0	0.12	28.80	0	0	0	0	0	0	
7495	20	0.00	0	-0.14	28.80	0	0	0	0	0	0	
7549	20	0.00	0	-0.32	28.80	0	0	0	0	0	0	
7601	20	0.00	0	-0.59	28.80	0	0	0	0	0	0	
