Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
5033	20	0.00	0	0.20	28.00	1	-7	1	-114	-322	163	
5088	20	0.00	0	-0.24	28.00	1	-7	1	-59	-250	100	
5143	20	0.00	0	-0.42	28.00	1	-7	1	-216	-253	159	
5204	20	0.00	0	0.03	28.00	1	-7	1	-364	86	89	
5259	20	0.00	0	-0.06	28.00	1	-7	1	-347	-78	18	
5314	20	0.00	0	-0.33	28.00	1	-7	1	-244	303	40	
5370	20	0.00	0	-0.51	28.00	1	-7	1	-124	-260	66	
5425	20	0.00	0	-0.24	28.00	1	-7	1	-208	-260	157	
5483	20	0.00	0	-0.51	28.00	1	-7	1	-241	-362	225	
5543	20	0.00	0	0.29	28.00	1	-7	1	-282	-40	151	
5598	20	0.00	0	-0.42	28.00	1	-7	1	-312	-35	54	
5653	20	0.00	0	0.91	28.00	1	-7	1	-313	112	-7	
5709	20	0.00	0	0.03	28.10	1	-7	1	-226	-66	22	
5764	20	0.00	0	-0.24	28.00	1	-7	1	-178	-148	66	
5819	20	0.00	0	0.03	28.10	1	-7	1	-177	-298	183	
5880	20	0.00	0	0.38	28.10	1	-7	1	-231	-233	202	
5935	20	0.00	0	0.12	28.10	1	-7	1	-271	-30	116	
5990	20	0.00	0	0.03	28.10	1	-7	1	-244	-117	33	
6048	20	0.00	0	-0.15	28.10	1	-7	1	-239	98	-65	
6103	20	0.00	0	-0.06	28.10	1	-7	1	-228	-210	64	
6163	20	0.00	0	-0.15	28.10	1	-7	1	-291	-6	154	
6219	20	0.00	0	-0.06	28.10	1	-7	1	-228	-425	168	
6274	20	0.00	0	-0.68	28.10	1	-7	1	-189	-74	179	
6329	20	0.00	0	-0.59	28.10	1	-7	1	-168	-246	50	
6385	20	0.00	0	-0.15	28.10	1	-7	1	-256	56	38	
6440	20	0.00	0	-0.42	28.10	1	-7	1	-317	-13	26	
6500	20	0.00	0	-0.24	28.10	1	-7	1	-295	90	137	
6556	20	0.00	0	-0.06	28.10	1	-7	1	-215	-90	139	
6611	20	0.00	0	0.20	28.10	1	-7	1	-196	-214	154	
6668	20	0.00	0	-0.06	28.10	1	-7	1	-194	-159	146	
6723	20	0.00	0	0.12	28.10	1	-7	1	-209	-156	50	
6779	20	0.00	0	0.20	28.10	1	-7	1	-276	54	24	
6839	20	0.00	0	-0.24	28.10	1	-7	1	-306	-39	61	
6894	20	0.00	0	-0.42	28.10	1	-7	1	-276	-92	120	
6950	20	0.00	0	-0.15	28.10	1	-7	1	-236	-160	111	
7005	20	0.00	0	0.03	28.10	1	-7	1	-153	-262	147	
7060	20	0.00	0	-0.24	28.10	1	-7	1	-183	-120	106	
7116	20	0.00	0	-0.33	28.10	1	-7	1	-263	-100	106	
7176	20	0.00	0	-0.24	28.10	1	-7	1	-333	99	34	
7231	20	0.00	0	0.12	28.10	1	-7	1	-264	-68	80	
7289	20	0.00	0	0.03	28.10	1	-7	1	-222	-35	65	
7344	20	0.00	0	-0.59	28.10	1	-7	1	-124	-314	128	
7399	20	0.00	0	0.03	28.10	1	-7	1	-210	-211	146	
7460	20	0.00	0	-0.06	28.10	1	-7	1	-221	-199	115	
7515	20	0.00	0	0.03	28.10	1	-7	1	-288	18	96	
7570	20	0.00	0	0.03	28.10	1	-7	1	-294	19	10	
7625	20	0.00	0	0.12	28.10	1	-7	1	-258	71	101	
7680	20	0.00	0	0.03	28.10	1	-7	1	-220	-96	82	
7735	20	0.00	0	0.12	28.10	1	-7	1	-183	-293	170	
7796	20	0.00	0	0.12	28.10	-1	-7	4	-693	-14726	-4107	
7851	20	0.00	0	0.29	28.10	-4	-8	7	-502	-2141	580	
7908	20	0.00	0	0.29	28.10	-11	-10	13	-400	-13385	-3376	
7965	20	0.00	0	0.03	28.10	4	-7	-1	-84	2612	377	
8020	20	0.00	0	-0.33	28.10	-1	-8	3	-567	-2465	-973	
8075	20	0.00	0	-0.15	28.10	1	-7	2	-315	-277	-34	
8135	20	0.00	0	0.03	28.10	0	-7	2	-262	-1195	-100	
8190	20	0.00	0	-0.33	28.10	0	-8	3	-106	-3830	-159	
8245	20	0.00	0	-0.59	28.10	1	-7	1	78	-2272	271	
8300	20	0.00	0	-0.15	28.10	1	-7	1	125	-2871	275	
8356	20	0.00	0	-0.51	28.10	0	-8	1	-311	554	-196	
8411	20	0.00	0	-0.15	28.10	1	-8	1	-575	7844	137	
8473	20	0.00	0	0.20	28.10	1	-7	1	-353	4683	-184	
8529	20	0.00	0	0.03	28.10	0	-7	2	-492	333	5	
8584	20	0.00	0	-0.15	28.10	2	-7	1	-377	3636	488	
8639	20	0.00	0	0.12	28.10	0	-8	2	-259	188	-11	
8695	20	0.00	0	0.12	28.10	2	-8	1	-304	2391	466	
8754	20	0.00	0	0.03	28.10	3	-7	0	-151	1848	422	
8809	20	0.00	0	0.12	28.10	2	-7	0	-324	1855	375	
8865	20	0.00	0	0.20	28.10	1	-7	1	-325	-229	1	
8920	20	0.00	0	0.29	28.10	1	-7	1	-446	-497	-190	
8975	20	0.00	0	0.12	28.10	-2	-8	3	-333	-2889	-811	
9031	20	0.00	0	0.20	28.10	0	-8	1	-796	5477	47	
9089	20	0.00	0	0.03	28.10	1	-7	1	-123	-3361	136	
9152	20	0.00	0	0.29	28.10	3	-7	1	-803	3235	-402	
9208	20	0.00	0	-0.15	28.10	2	-8	0	-183	1010	886	
9263	20	0.00	0	0.12	28.10	0	-8	1	-96	-1150	257	
9317	20	0.00	0	-0.06	28.10	1	-8	0	-145	2083	940	
