Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
10007	20	0.00	0	-0.50	16.20	0	7	0	-229	-215	-1	
10118	20	0.00	0	0.13	16.20	0	7	0	-249	-276	-24	
10227	20	0.00	0	-0.41	16.20	0	8	0	-187	-207	-33	
10339	20	0.00	0	-0.41	16.20	0	7	0	-223	-192	11	
10450	20	0.00	0	0.30	16.20	0	7	0	-257	-243	-24	
10560	20	0.00	0	-0.77	16.20	0	7	0	-185	-208	-49	
10671	20	0.00	0	-0.06	16.20	0	7	0	-218	-210	2	
10781	20	0.00	0	-0.06	16.20	0	7	0	-250	-260	-8	
10899	20	0.00	0	0.30	16.20	0	7	0	-205	-216	-54	
11009	20	0.00	0	-0.59	16.20	0	7	0	-190	-177	24	
11119	20	0.00	0	0.04	16.20	0	7	0	-228	-218	-20	
11229	20	0.00	0	0.04	16.20	0	7	0	-225	-251	-24	
11339	20	0.00	0	-0.59	16.20	0	7	0	-187	-181	8	
11450	20	0.00	0	-0.06	16.20	0	7	0	-217	-195	11	
11561	20	0.00	0	-0.15	16.20	0	7	0	-213	-234	-38	
11671	20	0.00	0	-0.06	16.20	0	7	0	-219	-205	-3	
11837	20	0.00	0	-0.23	16.20	0	7	0	-211	-211	-19	
11948	20	0.00	0	-0.06	16.20	0	7	0	-224	-258	-31	
12059	20	0.00	0	0.04	16.20	0	7	0	-230	-218	18	
12175	20	0.00	0	0.04	16.20	0	7	0	-207	-211	-1	
12286	20	0.00	0	0.21	16.20	0	7	0	-203	-234	-38	
12395	20	0.00	0	0.13	16.20	0	7	0	-221	-213	12	
12506	20	0.00	0	-0.23	16.20	0	7	0	-208	-196	6	
12616	20	0.00	0	-0.15	16.20	0	7	0	-211	-225	-55	
12727	20	0.00	0	0.30	16.20	0	7	0	-209	-185	10	
12837	20	0.00	0	-0.50	16.30	0	7	0	-234	-212	10	
12948	20	0.00	0	-0.15	16.30	0	7	0	-216	-273	-36	
13059	20	0.00	0	-0.23	16.30	0	7	0	-228	-214	-16	
13169	20	0.00	0	-0.15	16.20	0	7	0	-219	-209	20	
13287	20	0.00	0	-0.32	16.30	0	7	0	-170	-252	-43	
13398	20	0.00	0	-0.32	16.30	0	7	0	-245	-267	-18	
13508	20	0.00	0	-0.32	16.30	0	7	0	-217	-201	-2	
13620	20	0.00	0	0.13	16.30	0	7	0	-216	-217	-32	
13729	20	0.00	0	0.04	16.30	0	7	0	-246	-253	-6	
13839	20	0.00	0	-0.50	16.30	0	7	0	-205	-204	15	
13950	20	0.00	0	-0.59	16.30	0	7	0	-210	-237	-19	
14061	20	0.00	0	-0.68	16.30	0	7	0	-228	-236	-27	
14172	20	0.00	0	-0.06	16.30	0	7	0	-190	-205	17	
14283	20	0.00	0	-0.23	16.30	0	7	0	-182	-185	-15	
14394	20	0.00	0	0.04	16.30	0	7	0	-226	-233	-9	
14511	20	0.00	0	-0.06	16.30	0	7	0	-239	-220	-11	
14621	20	0.00	0	0.30	16.30	0	7	0	-199	-193	-29	
14731	20	0.00	0	-0.15	16.30	0	7	0	-224	-229	-3	
14842	20	0.00	0	0.04	16.30	0	7	0	-244	-207	-17	
14952	20	0.00	0	-0.15	16.30	0	7	0	-206	-200	-20	
15063	20	0.00	0	-0.32	16.30	0	7	0	-225	-212	-12	
15173	20	0.00	0	-0.95	16.30	0	7	0	-240	-248	-18	
15285	20	0.00	0	-0.50	16.30	0	7	0	-184	-224	-6	
15395	20	0.00	0	-0.23	16.30	0	7	0	-204	-220	-12	
15506	20	0.00	0	-0.06	16.30	0	7	0	-241	-258	-11	
15624	20	0.00	0	-0.23	16.30	0	7	0	-203	-218	-42	
15734	20	0.00	0	0.04	16.30	0	7	0	-221	-221	1	
15844	20	0.00	0	0.30	16.30	0	7	0	-254	-243	-20	
15955	20	0.00	0	-0.50	16.30	0	7	0	-200	-225	-32	
16065	20	0.00	0	0.48	16.30	0	7	0	-211	-226	9	
16176	20	0.00	0	-0.32	16.30	0	7	0	-234	-229	0	
16286	20	0.00	0	0.04	16.30	0	7	0	-193	-190	-28	
16396	20	0.00	0	0.04	16.30	0	7	0	-226	-207	-29	
16506	20	0.00	0	0.13	16.30	0	7	0	-219	-179	-14	
16615	20	0.00	0	0.04	16.30	0	7	0	-197	-225	-21	
16726	20	0.00	0	0.04	16.30	0	7	0	-206	-239	-15	
16841	20	0.00	0	-0.50	16.30	0	7	0	-211	-217	5	
16953	20	0.00	0	0.13	16.30	0	7	0	-214	-214	-34	
17063	20	0.00	0	-0.15	16.30	0	7	0	-200	-205	-40	
17173	20	0.00	0	-0.32	16.30	0	7	0	-215	-208	11	
17339	20	0.00	0	0.13	16.30	0	7	0	-225	-221	-44	
17449	20	0.00	0	-0.15	16.30	0	7	0	-232	-248	-16	
17559	20	0.00	0	-0.23	16.30	0	7	0	-230	-214	9	
17671	20	0.00	0	-0.50	16.30	0	7	0	-213	-248	-17	
17781	20	0.00	0	-0.59	16.30	0	7	0	-217	-201	-33	
17892	20	0.00	0	0.04	16.30	0	7	0	-221	-182	17	
