Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
9610	20	0.00	1	1.65	29.40	0	-8	0	-279	-596	-212	
9717	20	0.00	1	1.74	29.40	0	-8	0	-252	-356	-81	
9824	20	0.00	1	1.83	29.40	0	-8	0	-285	-163	108	
9932	20	0.00	1	1.48	29.40	0	-8	0	-286	-247	16	
10046	20	0.00	1	2.09	29.40	0	-8	0	-213	-339	-133	
10152	20	0.00	1	1.48	29.40	0	-8	0	-244	-229	-20	
10261	20	0.00	1	2.17	29.40	0	-8	0	-335	-52	111	
10369	20	0.00	1	1.48	29.40	0	-8	0	-252	-295	-14	
10477	20	0.00	1	1.22	29.40	0	-8	0	-197	-411	-92	
10585	20	0.00	1	1.91	29.40	0	-7	0	-279	-375	-53	
10693	20	0.00	1	1.39	29.40	0	-8	0	-312	-162	62	
10801	20	0.00	1	1.48	29.40	0	-7	0	-228	-301	33	
10910	20	0.00	1	2.09	29.40	0	-8	0	-268	-314	-121	
11018	20	0.00	1	1.74	29.50	0	-8	0	-274	-289	-100	
11170	20	0.00	1	2.00	29.40	0	-8	0	-152	-110	99	
11285	20	0.00	1	2.26	29.40	0	-7	0	-324	-269	7	
11391	20	0.00	1	2.17	29.40	0	-8	0	-234	-478	-134	
11500	20	0.00	1	2.09	29.50	0	-8	0	-200	-193	-10	
11608	20	0.00	1	1.39	29.50	0	-7	0	-339	-153	119	
11716	20	0.00	1	1.83	29.50	0	-8	0	-293	-235	27	
11824	20	0.00	1	1.65	29.50	0	-7	0	-165	-422	-122	
11932	20	0.00	1	1.65	29.50	0	-7	0	-261	-287	-35	
12040	20	0.00	1	2.17	29.50	0	-8	0	-303	-53	120	
12149	20	0.00	1	2.17	29.50	0	-8	0	-213	-183	23	
12256	20	0.00	1	1.30	29.50	0	-8	0	-245	-448	-126	
12371	20	0.00	1	2.09	29.50	0	-7	0	-235	-313	-35	
12479	20	0.00	1	1.83	29.50	0	-8	0	-285	-219	62	
12587	20	0.00	1	1.83	29.50	0	-7	0	-240	-203	1	
12695	20	0.00	1	2.09	29.50	0	-8	0	-245	-309	-82	
12803	20	0.00	1	1.74	29.50	0	-7	0	-267	-268	-34	
12912	20	0.00	1	2.00	29.50	0	-7	0	-278	-109	65	
13019	20	0.00	1	1.56	29.50	0	-8	0	-246	-129	50	
13128	20	0.00	1	1.56	29.50	0	-8	0	-266	-410	-92	
13236	20	0.00	1	1.83	29.50	0	-8	0	-235	-517	-128	
13344	20	0.00	1	1.91	29.50	0	-8	0	-203	-316	14	
13453	20	0.00	1	1.39	29.50	0	-8	0	-313	-205	28	
13567	20	0.00	1	1.22	29.50	0	-8	0	-289	-232	-24	
13675	20	0.00	1	2.09	29.50	0	-8	0	-232	-404	-60	
13782	20	0.00	1	1.91	29.50	0	-8	0	-300	-233	36	
13891	20	0.00	1	1.65	29.50	0	-8	0	-254	-200	46	
13999	20	0.00	1	1.74	29.50	0	-8	0	-227	-293	-25	
14107	20	0.00	1	1.56	29.50	0	-8	0	-273	-391	-93	
14215	20	0.00	1	1.74	29.50	0	-8	0	-301	-288	-26	
14323	20	0.00	1	1.74	29.50	0	-7	0	-249	-97	48	
14431	20	0.00	1	1.48	29.50	0	-8	0	-301	-132	20	
14540	20	0.00	1	1.65	29.50	0	-8	0	-288	-294	-48	
14655	20	0.00	1	2.00	29.50	0	-7	0	-242	-281	-13	
14762	20	0.00	1	1.83	29.50	0	-8	0	-296	-153	25	
14870	20	0.00	1	1.91	29.50	0	-8	0	-290	-261	-1	
14978	20	0.00	1	1.56	29.50	0	-8	0	-218	-274	-47	
15086	20	0.00	1	1.91	29.50	0	-8	0	-236	-314	-11	
15194	20	0.00	1	1.83	29.50	0	-7	0	-343	-212	26	
15303	20	0.00	1	1.56	29.50	0	-8	0	-317	-238	46	
15411	20	0.00	1	2.09	29.50	0	-8	0	-222	-264	-40	
15519	20	0.00	1	1.65	29.50	0	-8	0	-265	-414	-93	
15627	20	0.00	1	1.65	29.50	0	-7	0	-298	-270	-18	
15735	20	0.00	1	1.39	29.60	0	-8	0	-234	-188	24	
15850	20	0.00	1	1.74	29.50	0	-7	0	-306	-399	-25	
15957	20	0.00	1	1.56	29.60	0	-8	0	-253	-217	-43	
16066	20	0.00	1	1.91	29.60	0	-8	0	-210	-192	-65	
16173	20	0.00	1	1.65	29.60	0	-8	0	-308	-416	-22	
16282	20	0.00	1	1.65	29.60	0	-8	0	-257	-302	-68	
16389	20	0.00	1	1.56	29.60	0	-8	0	-224	-342	-58	
16498	20	0.00	1	1.91	29.60	0	-8	0	-292	-190	14	
16606	20	0.00	1	1.30	29.60	0	-8	0	-253	-99	-17	
16714	20	0.00	1	2.09	29.60	0	-7	0	-242	-190	-40	
16823	20	0.00	1	1.91	29.60	0	-7	0	-297	-323	-7	
16937	20	0.00	1	2.00	29.60	0	-8	0	-242	-163	-13	
17045	20	0.00	1	1.83	29.60	0	-8	0	-243	-308	27	
17152	20	0.00	1	1.74	29.60	0	-8	0	-254	-427	-51	
17261	20	0.00	1	1.65	29.60	0	-8	0	-250	-267	-23	
17413	20	0.00	1	1.48	29.60	0	-7	0	-232	-194	54	
17521	20	0.00	1	1.56	29.60	0	-7	0	-256	-304	-23	
17629	20	0.00	1	1.30	29.60	0	-7	0	-260	-483	-131	
17737	20	0.00	1	1.56	29.60	0	-8	0	-239	-263	-49	
17845	20	0.00	1	1.65	29.60	0	-8	0	-299	-176	74	
17953	20	0.00	1	1.56	29.60	0	-8	0	-299	-202	43	
18062	20	0.00	1	1.56	29.60	0	-8	0	-267	-244	-35	
18176	20	0.00	1	1.65	29.60	0	-7	0	-279	-332	-55	
18284	20	0.00	1	1.56	29.60	0	-8	0	-238	-230	-7	
18391	20	0.00	1	1.65	29.60	0	-8	0	-245	-262	21	
18500	20	0.00	1	1.74	29.60	0	-8	0	-288	-319	-14	
18607	20	0.00	1	1.30	29.60	0	-7	0	-221	-321	-77	
18716	20	0.00	1	1.74	29.60	0	-8	0	-267	-420	-27	
18824	20	0.00	1	1.83	29.60	0	-8	0	-300	-54	100	
18932	20	0.00	1	1.91	29.60	0	-7	0	-235	-102	5	
19040	20	0.00	1	1.83	29.60	0	-8	0	-281	-370	-69	
19149	20	0.00	1	2.09	29.60	0	-8	0	-238	-390	-45	
19264	20	0.00	1	2.00	29.60	0	-8	0	-205	-372	-28	
19371	20	0.00	1	1.65	29.60	0	-8	0	-329	-253	34	
19479	20	0.00	1	2.09	29.60	0	-8	0	-227	-151	18	
19587	20	0.00	1	2.00	29.60	0	-8	0	-284	-243	-28	
19695	20	0.00	1	2.17	29.60	0	-8	0	-334	-343	38	
19804	20	0.00	2	2.26	29.60	0	-8	0	-237	87	100	
19912	20	0.00	1	1.30	29.60	0	-8	0	-371	-282	-10	
20019	20	0.00	1	2.00	29.60	0	-8	-1	-238	-512	-115	
20128	20	0.00	1	1.65	29.60	0	-7	0	-77	-185	-74	
20235	20	0.00	1	1.74	29.60	0	-7	0	-518	-372	40	
20344	20	0.00	1	2.09	29.60	0	-8	-1	-380	-87	69	
20459	20	0.00	1	1.91	29.60	0	-8	0	-172	-154	28	
20566	20	0.00	1	1.83	29.60	0	-8	0	-377	-469	-60	
20675	20	0.00	1	1.83	29.70	0	-8	0	-198	-146	-23	
20782	20	0.00	1	2.35	29.70	0	-7	0	-234	-175	-42	
20891	20	0.00	1	2.00	29.60	0	-8	0	-338	-367	-12	
20999	20	0.00	2	2.17	29.70	0	-8	-1	-178	-243	-1	
21107	20	0.00	2	2.26	29.70	0	-8	0	-203	-557	-42	
21215	20	0.00	2	1.91	29.60	0	-8	0	-325	-340	-76	
21323	20	0.00	1	1.48	29.70	0	-8	0	-226	-128	40	
21432	20	0.00	1	2.17	29.70	0	-7	0	-263	-331	81	
21546	20	0.00	1	1.83	29.70	0	-7	0	-256	-447	-92	
21654	20	0.00	1	1.39	29.70	0	-8	0	-216	-279	-140	
21762	20	0.00	1	1.91	29.70	0	-8	0	-333	-98	172	
21870	20	0.00	1	1.56	29.70	0	-8	0	-337	-119	184	
21978	20	0.00	1	2.26	29.70	0	-8	0	-212	-265	-118	
22086	20	0.00	1	2.17	29.70	0	-7	0	-343	-569	-168	
22194	20	0.00	1	1.74	29.70	0	-8	0	-337	-338	-74	
22303	20	0.00	1	1.48	29.70	0	-8	0	-199	-146	103	
22410	20	0.00	1	2.52	29.70	0	-7	0	-347	352	169	
22519	20	0.00	1	2.00	29.70	0	-7	0	-204	-652	-21	
22628	20	0.00	2	2.44	29.70	0	-8	0	-259	-59	-103	
22742	20	0.00	1	1.74	29.70	0	-8	0	-421	-172	78	
22849	20	0.00	2	2.09	29.70	0	-8	0	-258	-341	56	
22957	20	0.00	1	1.74	29.70	0	-8	0	-65	-583	-116	
23066	20	0.00	1	1.91	29.70	0	-7	0	-239	-380	-161	
23173	20	0.00	1	1.65	29.70	0	-8	0	-456	-42	31	
23282	20	0.00	1	2.44	29.70	0	-8	-1	-77	6	84	
23389	20	0.00	1	1.65	29.70	0	-7	0	-90	301	73	
23498	20	0.00	2	2.61	29.70	0	-7	0	-358	-253	-7	
23607	20	0.00	2	2.00	29.70	0	-7	0	-516	-78	-3	
23758	20	0.00	2	2.52	29.70	0	-8	0	-283	-257	86	
23866	20	0.00	2	2.44	29.70	0	-8	0	-326	-139	-11	
23980	20	0.00	2	2.17	29.70	0	-8	0	-223	10	-52	
24088	20	0.00	2	1.91	29.70	0	-7	0	-406	-292	128	
24196	20	0.00	2	2.09	29.70	0	-8	0	-207	340	176	
24304	20	0.00	2	1.65	29.70	-1	-7	0	-369	-329	-84	
24412	20	0.00	2	1.91	29.70	0	-8	0	-167	-386	-139	
24520	20	0.00	2	2.00	29.70	0	-7	0	-201	-439	-87	
24628	20	0.00	2	2.09	29.70	0	-7	0	-420	-645	-3	
24736	20	0.00	1	1.48	29.70	0	-8	0	-187	-210	-21	
24845	20	0.00	1	1.83	29.70	0	-7	0	-203	-338	-93	
24953	20	0.00	1	1.83	29.70	0	-7	0	-411	-167	44	
25068	20	0.00	1	1.83	29.70	0	-7	0	-226	-17	156	
25175	20	0.00	1	1.83	29.70	0	-8	0	-203	-289	-29	
25283	20	0.00	1	1.65	29.70	0	-8	0	-278	-464	-99	
25391	20	0.00	1	1.74	29.70	0	-7	0	-221	-270	-2	
25499	20	0.00	1	1.48	29.80	0	-8	0	-345	15	164	
25607	20	0.00	1	1.48	29.70	0	-8	0	-220	-360	-11	
25716	20	0.00	1	1.65	29.80	0	-7	0	-279	-583	-169	
25823	20	0.00	1	1.74	29.80	0	-7	0	-273	-386	-14	
25932	20	0.00	1	1.83	29.80	0	-7	0	-245	275	108	
26041	20	0.00	1	2.26	29.80	0	-7	0	-347	-64	27	
26148	20	0.00	1	1.48	29.80	-1	-7	0	-149	-916	-171	
26263	20	0.00	1	2.09	29.80	0	-8	0	-161	-681	-188	
26371	20	0.00	1	1.83	29.80	0	-7	0	-339	-245	91	
26479	20	0.00	1	2.17	29.80	0	-8	-1	-319	186	127	
26586	20	0.00	1	1.91	29.80	0	-8	0	-202	-209	-70	
26695	20	0.00	1	2.09	29.80	0	-7	0	-319	-562	-216	
26803	20	0.00	1	1.48	29.80	0	-8	0	-373	-424	-69	
26911	20	0.00	1	2.52	29.80	0	-8	0	-138	425	190	
27019	20	0.00	2	2.52	29.80	-1	-8	0	-259	112	99	
27127	20	0.00	2	2.78	29.80	0	-8	0	-348	-585	-228	
27236	20	0.00	2	2.17	29.80	0	-7	0	-164	-483	-180	
27350	20	0.00	2	1.56	29.80	0	-8	0	-244	-153	117	
27458	20	0.00	1	1.56	29.80	0	-7	0	-328	-389	5	
27566	20	0.00	2	2.26	29.80	0	-8	0	-194	-423	-167	
27674	20	0.00	2	2.44	29.80	0	-8	0	-191	-409	-144	
27782	20	0.00	2	2.09	29.80	0	-7	0	-361	-258	106	
27891	20	0.00	2	1.91	29.80	0	-8	0	-275	-128	143	
27998	20	0.00	2	1.91	29.80	0	-8	0	-257	-389	-110	
28107	20	0.00	1	1.56	29.80	0	-8	0	-229	-563	-254	
28215	20	0.00	2	2.52	29.80	0	-8	0	-211	-44	37	
28323	20	0.00	2	1.83	29.80	0	-8	0	-275	62	235	
28438	20	0.00	1	1.74	29.80	0	-8	0	-318	-532	-26	
28545	20	0.00	1	2.09	29.80	0	-8	0	-168	-786	-281	
28653	20	0.00	1	2.00	29.80	0	-7	0	-259	-442	-119	
28761	20	0.00	1	2.00	29.80	0	-8	0	-332	-90	142	
28870	20	0.00	1	1.74	29.80	0	-8	0	-260	23	177	
28977	20	0.00	1	1.83	29.80	0	-8	0	-259	-184	-36	
29086	20	0.00	1	1.91	29.80	0	-8	0	-307	-94	-87	
29194	20	0.00	1	1.74	29.80	0	-8	0	-188	110	119	
29302	20	0.00	1	1.65	29.80	-1	-8	0	-316	-359	61	
29411	20	0.00	1	2.26	29.80	0	-8	0	-281	-805	-205	
29518	20	0.00	2	2.35	29.80	0	-7	0	-106	-495	-196	
29634	20	0.00	2	2.35	29.80	0	-7	0	-334	-324	75	
29740	20	0.00	2	2.17	29.80	0	-7	0	-375	-49	100	
29849	20	0.00	2	1.91	29.80	0	-8	0	-174	-259	-84	
29957	20	0.00	2	1.83	29.80	0	-7	0	-264	-624	-127	
30109	20	0.00	2	2.35	29.80	0	-7	0	-284	190	140	
30216	20	0.00	1	1.56	29.80	0	-7	0	-379	-263	12	
30325	20	0.00	2	2.35	29.80	0	-8	0	-145	-579	-155	
30432	20	0.00	2	1.91	29.80	0	-7	0	-215	-484	-129	
