Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
10027	20	0.00	0	0.71	20.80	0	7	0	118	-677	-177	
10137	20	0.00	0	0.27	20.80	0	7	0	-303	479	151	
10246	20	0.00	0	0.45	20.80	0	7	0	-177	221	130	
10357	20	0.00	0	0.45	20.80	0	7	0	-417	44	115	
10466	20	0.00	0	0.53	20.80	0	7	0	-160	49	-37	
10576	20	0.00	0	0.36	20.80	0	7	0	-44	-326	-40	
10686	20	0.00	0	0.62	20.80	0	7	0	-426	-90	189	
10802	20	0.00	0	0.36	20.80	0	7	0	-393	-508	-2	
10912	20	0.00	0	0.53	20.80	0	7	0	-323	-353	87	
11022	20	0.00	0	0.36	20.80	0	7	0	-223	-341	-10	
11132	20	0.00	0	0.45	20.80	-1	15	-6	-4087	-30906	720	
11242	20	0.00	0	0.71	20.80	-1	5	1	380	-4492	1833	
11352	20	0.00	0	0.45	20.80	1	7	0	-639	-1030	-386	
11514	20	0.00	0	0.53	20.80	0	7	0	217	-2824	-299	
11624	20	0.00	0	0.62	20.80	0	7	0	-115	-1807	562	
11734	20	0.00	0	0.10	20.80	1	7	1	-500	-3509	-6	
11844	20	0.00	0	0.10	20.80	0	8	0	-151	-1680	20	
11960	20	0.00	0	0.18	20.80	0	7	0	-193	-2338	-217	
12070	20	0.00	0	0.10	20.80	0	8	0	-525	-2337	-535	
12181	20	0.00	0	0.01	20.80	0	8	1	-169	-2167	-148	
12290	20	0.00	0	-0.08	20.80	0	8	0	-26	-594	23	
12401	20	0.00	0	0.01	20.80	0	8	0	194	-1647	493	
12511	20	0.00	0	0.01	20.80	1	8	0	-369	-1484	-38	
12621	20	0.00	0	0.36	20.80	0	7	0	-128	-639	-132	
12730	20	0.00	0	0.01	20.80	0	8	0	45	-1621	319	
12840	20	0.00	0	-0.17	20.80	1	7	0	-384	-1978	60	
12952	20	0.00	0	0.18	20.80	0	8	0	-274	-3963	-316	
13061	20	0.00	0	-0.08	20.80	0	7	0	-73	-277	78	
13179	20	0.00	0	0.10	20.80	1	6	0	-210	-567	234	
13289	20	0.00	0	-0.34	20.80	0	10	0	-137	746	-190	
13400	20	0.00	0	0.01	20.80	1	7	0	-801	-3157	-127	
13510	20	0.00	0	-0.17	20.80	0	7	0	-200	1176	142	
13621	20	0.00	0	-0.69	20.80	0	7	0	-525	-5283	53	
13732	20	0.00	0	0.01	20.80	1	7	0	-120	767	-226	
13843	20	0.00	0	0.45	20.80	0	7	0	-404	-937	20	
13952	20	0.00	0	-0.78	20.80	0	7	0	-175	257	122	
14063	20	0.00	0	-0.60	20.80	0	7	0	-116	463	-188	
14173	20	0.00	0	-0.17	20.80	0	7	0	-386	-769	-111	
14291	20	0.00	0	0.10	20.80	0	7	0	-303	-289	86	
14402	20	0.00	0	-0.17	20.80	0	8	0	-97	743	8	
14512	20	0.00	0	0.27	20.80	0	7	0	-240	-439	25	
14622	20	0.00	0	-0.25	20.80	0	7	0	-424	-929	-29	
14733	20	0.00	0	-0.52	20.80	2	7	-1	20	511	-87	
14844	20	0.00	0	0.27	20.80	0	7	0	-136	531	-88	
14954	20	0.00	0	-0.34	20.80	0	7	0	-360	-690	1	
15064	20	0.00	0	-0.17	20.80	1	8	0	-179	-285	-139	
15176	20	0.00	0	-0.34	20.80	0	7	0	-66	1366	-54	
15287	20	0.00	0	-0.08	20.80	0	7	0	-288	-594	47	
15398	20	0.00	0	-0.43	20.80	1	7	0	-305	-389	-37	
15516	20	0.00	0	0.71	20.80	0	7	0	-157	332	-52	
15625	20	0.00	0	0.62	20.80	0	7	0	-248	-402	-36	
15736	20	0.00	0	0.36	20.80	0	8	0	-328	-555	-48	
15845	20	0.00	0	-0.60	20.80	0	7	0	-93	-6626	145	
15956	20	0.00	0	-0.08	20.80	1	8	-1	-420	3252	263	
16068	20	0.00	0	0.18	20.80	1	7	0	-87	-375	-203	
16177	20	0.00	0	0.18	20.80	0	7	0	-142	65	127	
16287	20	0.00	0	0.10	20.80	1	8	0	-502	-2367	25	
16396	20	0.00	0	-0.17	20.80	0	7	0	-251	-987	-93	
16508	20	0.00	0	0.27	20.80	0	7	0	-140	52	38	
16618	20	0.00	0	0.27	20.80	0	7	0	-243	343	63	
16734	20	0.00	0	0.10	20.80	0	7	0	-302	-760	-77	
16844	20	0.00	0	0.01	20.80	0	7	0	-151	1	8	
