Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
0	20	0.00	0	0.04	28.20	-2	8	0	-867	-1162	661	
126	20	0.00	0	0.65	28.10	0	8	0	-323	78	168	
233	20	0.00	0	1.00	28.10	0	7	-1	-237	447	-244	
341	20	0.00	0	0.30	28.10	0	7	0	-211	-224	-237	
448	20	0.00	0	0.56	28.10	0	7	0	-321	-193	-4	
557	20	0.00	0	0.56	28.10	0	7	0	-247	-321	24	
664	20	0.00	0	1.00	28.10	0	7	-1	-261	-136	-136	
772	20	0.00	0	1.17	28.10	0	7	0	-364	-337	-20	
879	20	0.00	0	0.82	28.10	0	7	-1	-470	-534	-13	
987	20	0.00	0	0.56	28.10	0	7	0	-172	-432	3	
1094	20	0.00	0	0.65	28.10	0	8	0	-178	-1235	27	
1210	20	0.00	0	1.35	28.10	0	8	0	-385	-76	95	
1319	20	0.00	0	1.00	28.00	0	7	0	-369	-27	-58	
1427	20	0.00	0	0.91	28.00	0	8	0	-263	-668	-225	
1537	20	0.00	0	0.73	28.00	0	7	-1	-361	-289	-34	
1645	20	0.00	0	1.00	28.00	0	7	0	-444	-197	-5	
1754	20	0.00	0	1.09	28.00	0	7	0	-344	-190	-113	
1862	20	0.00	0	0.30	28.00	0	7	-1	-320	-143	-162	
1971	20	0.00	0	1.00	27.90	0	7	0	-333	-993	-34	
2080	20	0.00	0	0.73	27.90	-1	8	0	-118	-1560	120	
2189	20	0.00	0	0.56	27.90	0	7	0	-325	-770	22	
2298	20	0.00	0	0.73	27.90	0	8	0	-391	-1099	-12	
2413	20	0.00	0	0.82	27.90	0	7	-2	-299	-454	57	
2523	20	0.00	0	0.30	27.90	0	8	0	-138	-19	-50	
2631	20	0.00	0	0.73	27.90	0	7	0	-102	-1122	-411	
2740	20	0.00	0	0.82	27.90	0	7	0	204	-1278	-38	
2848	20	0.00	0	0.91	27.90	0	7	0	90	-3684	3	
2957	20	0.00	0	1.09	27.90	0	8	-2	-887	1075	-355	
3066	20	0.00	0	0.30	27.90	-1	7	0	60	-4140	-53	
3175	20	0.00	0	1.26	27.90	0	7	0	-17	-875	-12	
3284	20	0.00	0	0.04	27.90	-1	7	-1	205	-3070	61	
3392	20	0.00	0	1.00	27.90	0	8	-2	-329	1895	-73	
3501	20	0.00	0	0.91	28.00	0	9	0	-965	-1299	1031	
3616	20	0.00	0	0.39	28.00	0	7	0	-26	-684	-167	
3725	20	0.00	0	0.21	27.90	0	7	-2	-431	1456	154	
3834	20	0.00	0	0.91	27.90	0	8	0	-489	616	-266	
3992	20	0.00	0	0.73	27.90	0	8	-1	-350	627	-179	
4101	20	0.00	0	1.09	27.90	0	7	-1	-537	-215	210	
4209	20	0.00	0	1.09	27.90	0	7	0	166	1860	-50	
4319	20	0.00	0	0.82	27.90	0	7	0	-6	1218	-131	
4427	20	0.00	0	1.00	27.90	0	8	-1	-603	571	208	
4536	20	0.00	0	1.00	27.90	0	7	-1	-248	-1067	-63	
4645	20	0.00	0	0.21	27.90	0	7	0	-167	-356	-163	
4760	20	0.00	0	0.65	27.90	0	7	0	-231	-448	187	
4869	20	0.00	0	0.39	27.90	0	8	0	-430	-268	-74	
4977	20	0.00	0	0.39	27.90	0	7	0	-135	-608	-139	
5087	20	0.00	0	0.39	27.90	0	7	0	-159	-58	180	
