Ms	Code	A0	CA	MA	T	AX	AY	AZ	GX	GY	GZ
0	20	0.00	0	-0.51	27.40	0	-8	0	-486	-1151	92	
123	20	0.00	0	-0.25	27.40	0	-8	0	-263	-312	7	
227	20	0.00	0	-0.25	27.50	0	-8	0	-243	-194	26	
334	20	0.00	0	-0.16	27.50	0	-8	0	-286	17	-38	
441	20	0.00	0	-0.25	27.50	0	-8	0	-238	-25	11	
548	20	0.00	0	0.11	27.50	0	-8	0	-132	511	47	
655	20	0.00	0	0.02	27.50	-1	-4	0	-148	1356	-66	
760	20	0.00	0	-0.07	27.50	0	-8	0	-159	-217	33	
867	20	0.00	0	0.20	27.50	0	-8	0	-52	1188	-238	
973	20	0.00	0	-0.51	27.50	0	-8	0	7	-1045	-80	
1081	20	0.00	0	0.54	27.50	0	-8	0	-321	-392	8	
1194	20	0.00	0	-0.16	27.50	0	-8	0	-549	3642	16	
1299	20	0.00	0	0.28	27.50	0	-8	0	-224	1180	-180	
1406	20	0.00	0	-0.33	27.50	0	-7	0	-138	-217	-32	
1514	20	0.00	0	-0.60	27.50	0	-8	0	-419	351	58	
1622	20	0.00	0	-0.16	27.50	0	-8	0	-272	-323	-40	
1731	20	0.00	0	-0.07	27.50	0	-8	0	-106	-565	-34	
1838	20	0.00	0	-0.42	27.50	0	-8	0	-229	-208	26	
1947	20	0.00	0	-0.42	27.50	0	-8	0	-432	131	-16	
2056	20	0.00	0	-0.16	27.50	0	-8	0	-225	-305	-37	
2163	20	0.00	0	-0.42	27.50	0	-8	0	-87	-578	10	
2278	20	0.00	0	0.11	27.50	0	-8	0	-264	-87	-18	
2382	20	0.00	0	0.11	27.50	0	-8	0	-361	30	-45	
2489	20	0.00	0	-0.25	27.50	0	-8	0	-175	-401	27	
2597	20	0.00	0	0.11	27.50	0	-8	0	-152	-467	-32	
2704	20	0.00	0	0.20	27.50	0	-7	0	-301	-172	-24	
2811	20	0.00	0	-0.51	27.50	0	-8	0	-348	-109	14	
2920	20	0.00	0	-0.42	27.50	0	-8	0	-159	-469	-24	
3027	20	0.00	0	-0.25	27.50	0	-8	0	-177	-454	-18	
3136	20	0.00	0	-0.16	27.50	0	-8	0	-345	-114	0	
3243	20	0.00	0	-0.16	27.50	0	-8	0	-295	-165	-23	
3353	20	0.00	0	-0.33	27.50	0	-8	0	-115	-492	-22	
3503	20	0.00	0	0.20	27.50	0	-8	0	-313	-166	-22	
3608	20	0.00	0	-0.07	27.50	0	-8	0	-323	-65	-10	
3715	20	0.00	0	-0.25	27.50	0	-8	0	-190	-406	6	
3824	20	0.00	0	-0.07	27.50	0	-8	0	-160	-429	-10	
3933	20	0.00	0	0.02	27.50	0	-8	0	-319	-168	-21	
4039	20	0.00	0	-0.07	27.50	0	-8	0	-288	-141	-21	
4148	20	0.00	0	-0.25	27.50	0	-8	0	-147	-405	37	
4255	20	0.00	0	0.02	27.50	0	-8	0	-211	-320	-20	
4363	20	0.00	0	-0.07	27.50	0	-8	0	-333	-137	3	
4471	20	0.00	0	-0.16	27.50	0	-8	0	-276	-273	-3	
4579	20	0.00	0	0.20	27.50	0	-8	0	-154	-405	-2	
4692	20	0.00	0	-0.33	27.50	0	-8	0	-263	-311	1	
4798	20	0.00	0	-0.16	27.50	0	-8	0	-329	-133	3	
4905	20	0.00	0	-0.16	27.50	0	-8	0	-219	-301	-29	
5014	20	0.00	0	-0.07	27.50	0	-8	0	-159	-373	-10	
5122	20	0.00	0	0.11	27.50	0	-8	0	-291	-207	-9	
5229	20	0.00	0	0.02	27.50	0	-8	0	-321	-129	-8	
5336	20	0.00	0	-0.07	27.60	0	-8	0	-251	-368	4	
5444	20	0.00	0	0.20	27.50	0	-8	0	-216	-368	-17	
5551	20	0.00	0	-0.33	27.50	0	-8	0	-303	-150	-9	
5660	20	0.00	0	0.11	27.60	0	-8	0	-275	-199	-21	
5774	20	0.00	0	-0.42	27.60	0	-8	0	-179	-448	-18	
5878	20	0.00	0	-0.42	27.60	0	-8	0	-222	-323	12	
5987	20	0.00	0	0.20	27.60	0	-8	0	-309	-175	-21	
6094	20	0.00	0	-0.25	27.50	0	-7	0	-98	-2065	-93	
6202	20	0.00	0	-0.25	27.60	0	-8	0	-343	2275	-57	
6310	20	0.00	0	-0.69	27.60	0	-8	0	-361	-42	-18	
6418	20	0.00	0	-0.16	27.60	1	-8	0	-404	83	385	
6526	20	0.00	0	-0.16	27.50	4	-7	-1	-1653	4636	189	
6635	20	0.00	0	0.11	27.60	0	-8	0	-284	685	66	
6741	20	0.00	0	-0.60	27.60	0	-8	0	-278	-1041	-84	
6850	20	0.00	0	0.20	27.60	1	-8	0	107	-1159	111	
6964	20	0.00	0	0.20	27.60	0	-7	0	-243	-393	-50	
7067	20	0.00	0	-0.07	27.60	0	-8	0	-555	-905	-435	
7176	20	0.00	0	0.11	27.60	0	-8	0	-638	-588	-135	
7282	20	0.00	0	-0.25	27.60	0	-8	0	-327	245	36	
7391	20	0.00	0	-0.25	27.60	0	-8	0	-11	-442	179	
7499	20	0.00	0	0.20	27.60	0	-8	0	-141	-409	-43	
7606	20	0.00	0	-0.07	27.60	0	-8	0	-420	-717	-172	
7714	20	0.00	0	-0.51	27.60	0	-8	0	-183	-655	-4	
7822	20	0.00	0	-0.25	27.60	0	-8	0	25	-619	-13	
7930	20	0.00	0	0.63	27.60	0	-8	0	-351	6	76	
8038	20	0.00	0	-0.33	27.60	0	-8	0	-850	1255	19	
8152	20	0.00	0	-0.33	27.60	0	-8	0	-38	3854	-47	
8257	20	0.00	0	-0.51	27.60	0	-8	0	-113	-1135	108	
8365	20	0.00	0	-0.33	27.60	0	-8	0	28	94	-117	
8473	20	0.00	0	-0.25	27.60	0	-7	0	-194	-242	130	
8582	20	0.00	0	0.11	27.60	0	-8	0	-913	2103	-219	
8689	20	0.00	0	-0.33	27.60	0	-8	0	-308	966	-157	
8798	20	0.00	0	0.11	27.60	0	-8	0	136	-1025	302	
