149	L	2
156	L	1
162	L	1
169	L	1
176	L	1
182	L	1
189	L	1
195	L	1
202	L	1
209	L	1
216	L	1
222	L	1
229	L	2
236	L	2
242	L	2
249	L	2
256	L	2
263	L	2
270	L	2
277	L	2
284	L	1
291	L	1
298	L	1
305	L	1
312	L	1
319	L	2
326	L	2
333	L	2
340	L	2
347	L	2
1133	A	0
1144	A	0
1156	A	0
1167	A	0
1178	A	0
1189	A	0
1200	A	0
1212	A	0
1223	A	0
1234	A	0
1245	A	0
1257	A	0
1268	A	0
1279	A	0
1290	A	0
1302	A	0
1313	A	0
1324	A	0
1335	A	0
1346	A	0
1358	A	0
1369	A	0
1380	A	0
1391	A	0
1402	A	0
1414	A	0
1425	A	0
1436	A	0
1447	A	0
1458	A	0
1470	A	0
1481	A	0
1492	A	0
1503	A	0
1514	A	0
1525	A	0
1537	A	0
1548	A	0
1559	A	0
1570	A	0
1582	A	0
1593	A	0
1604	A	0
1615	A	0
1627	A	0
1638	A	0
1649	A	0
1660	A	0
1671	A	0
1682	A	0
1694	A	0
1705	A	0
1716	A	0
1727	A	0
1738	A	0
1749	A	0
1761	A	0
1772	A	0
1783	A	0
1794	A	0
1805	A	0
1816	A	0
1827	A	0
1838	A	0
1850	A	0
1861	A	0
1872	A	0
1883	A	0
1894	A	0
1905	A	0
1917	A	0
1928	A	0
1939	A	0
1950	A	0
1962	A	0
1973	A	0
1984	A	0
1995	A	0
2006	A	0
2018	A	0
2029	A	0
2040	A	0
2051	A	0
2063	A	0
2074	A	0
2085	A	0
2096	A	0
2107	A	0
2119	A	0
2130	A	0
2141	A	0
2152	A	0
2164	A	0
2175	A	0
2186	A	0
2197	A	0
2208	A	0
2220	A	0
2231	A	0
2242	A	0
2253	A	0
2265	A	0
2276	A	0
2287	A	0
2298	A	0
2310	A	0
2321	A	0
2332	A	0
2343	A	0
2354	A	0
2366	A	0
2377	A	0
2388	A	0
2399	A	0
2410	A	0
2422	A	0
2433	A	0
2444	A	0
2455	A	0
2467	A	0
2478	A	0
2489	A	0
2500	A	0
2512	A	0
2523	A	0
2534	A	0
2545	A	0
2557	A	0
2568	A	0
2579	A	0
2590	A	0
2601	A	0
2613	A	0
2624	A	0
2635	A	0
2646	A	0
2657	A	0
2669	A	0
2680	A	0
2691	A	0
2702	A	0
2714	A	0
2725	A	0
2736	A	0
2747	A	0
2758	A	0
2769	A	0
2781	A	0
2792	A	0
2803	A	0
2814	A	0
2826	A	0
2836	A	0
2848	A	0
2859	A	0
2870	A	0
2881	A	0
2893	A	0
2904	A	0
2915	A	0
2926	A	0
2938	A	0
2949	A	0
2960	A	0
2971	A	0
2982	A	0
2994	A	0
3005	A	0
3016	A	0
3027	A	0
3038	A	0
3050	A	0
3061	A	0
3072	A	0
